Site,TimeStamp,DO_mgL
Vierra Mouth,5/4/21 9:00,8.7
Vierra Mouth,5/4/21 9:15,8.6
Vierra Mouth,5/4/21 9:30,8.5
Vierra Mouth,5/4/21 9:45,8.3
Vierra Mouth,5/4/21 10:00,8.1
Vierra Mouth,5/4/21 10:15,8
Vierra Mouth,5/4/21 10:30,7.7
Vierra Mouth,5/4/21 10:45,7.2
Vierra Mouth,5/4/21 11:00,7.3
Vierra Mouth,5/4/21 11:15,7.4
Vierra Mouth,5/4/21 11:30,7.1
Vierra Mouth,5/4/21 11:45,7.7
Vierra Mouth,5/4/21 12:00,7.2
Vierra Mouth,5/4/21 12:15,6.9
Vierra Mouth,5/4/21 12:30,7.4
Vierra Mouth,5/4/21 12:45,7.8
Vierra Mouth,5/4/21 13:00,8.4
Vierra Mouth,5/4/21 13:15,8.5
Vierra Mouth,5/4/21 13:30,8.6
Vierra Mouth,5/4/21 13:45,7.8
Vierra Mouth,5/4/21 14:00,7.2
Vierra Mouth,5/4/21 14:15,6.5
Vierra Mouth,5/4/21 14:30,6.2
Vierra Mouth,5/4/21 14:45,6.2
Vierra Mouth,5/4/21 15:00,6.2
Vierra Mouth,5/4/21 15:15,6.7
Vierra Mouth,5/4/21 15:30,6.9
Vierra Mouth,5/4/21 15:45,7.8
Vierra Mouth,5/4/21 16:00,8.3
Vierra Mouth,5/4/21 16:15,8.7
Vierra Mouth,5/4/21 16:30,8.9
Vierra Mouth,5/4/21 16:45,9.7
Vierra Mouth,5/4/21 17:00,9.8
Vierra Mouth,5/4/21 17:15,9.6
Vierra Mouth,5/4/21 17:30,9.8
Vierra Mouth,5/4/21 17:45,9.6
Vierra Mouth,5/4/21 18:00,9.5
Vierra Mouth,5/4/21 18:15,9.7
Vierra Mouth,5/4/21 18:30,9.3
Vierra Mouth,5/4/21 18:45,9.1
Vierra Mouth,5/4/21 19:00,9.3
Vierra Mouth,5/4/21 19:15,8.9
Vierra Mouth,5/4/21 19:30,9.1
Vierra Mouth,5/4/21 19:45,9.5
Vierra Mouth,5/4/21 20:00,9.5
Vierra Mouth,5/4/21 20:15,9.3
Vierra Mouth,5/4/21 20:30,9.2
Vierra Mouth,5/4/21 20:45,9.1
Vierra Mouth,5/4/21 21:00,9
Vierra Mouth,5/4/21 21:15,8.9
Vierra Mouth,5/4/21 21:30,8.9
Vierra Mouth,5/4/21 21:45,8.8
Vierra Mouth,5/4/21 22:00,8.7
Vierra Mouth,5/4/21 22:15,8.6
Vierra Mouth,5/4/21 22:30,8.5
Vierra Mouth,5/4/21 22:45,8.4
Vierra Mouth,5/4/21 23:00,8.2
Vierra Mouth,5/4/21 23:15,8.2
Vierra Mouth,5/4/21 23:30,8
Vierra Mouth,5/4/21 23:45,7.6
Vierra Mouth,5/5/21 0:00,7.5
Vierra Mouth,5/5/21 0:15,7.6
Vierra Mouth,5/5/21 0:30,7.6
Vierra Mouth,5/5/21 0:45,7.5
Vierra Mouth,5/5/21 1:00,7.2
Vierra Mouth,5/5/21 1:15,7.4
Vierra Mouth,5/5/21 1:30,7.2
Vierra Mouth,5/5/21 1:45,7.2
Vierra Mouth,5/5/21 2:00,7.3
Vierra Mouth,5/5/21 2:15,7.2
Vierra Mouth,5/5/21 2:30,7.2
Vierra Mouth,5/5/21 2:45,7.6
Vierra Mouth,5/5/21 3:00,8
Vierra Mouth,5/5/21 3:15,8.2
Vierra Mouth,5/5/21 3:30,8.2
Vierra Mouth,5/5/21 3:45,8.3
Vierra Mouth,5/5/21 4:00,8.3
Vierra Mouth,5/5/21 4:15,8.2
Vierra Mouth,5/5/21 4:30,8.4
Vierra Mouth,5/5/21 4:45,8.4
Vierra Mouth,5/5/21 5:00,8.2
Vierra Mouth,5/5/21 5:15,8.2
Vierra Mouth,5/5/21 5:30,8.2
Vierra Mouth,5/5/21 5:45,8.3
Vierra Mouth,5/5/21 6:00,8.5
Vierra Mouth,5/5/21 6:15,8
Vierra Mouth,5/5/21 6:30,8.4
Vierra Mouth,5/5/21 6:45,8.3
Vierra Mouth,5/5/21 7:00,8
Vierra Mouth,5/5/21 7:15,8.1
Vierra Mouth,5/5/21 7:30,8.3
Vierra Mouth,5/5/21 7:45,8.6
Vierra Mouth,5/5/21 8:00,8.8
Vierra Mouth,5/5/21 8:15,8.9
Vierra Mouth,5/5/21 8:30,8.9
Vierra Mouth,5/5/21 8:45,8.8
Vierra Mouth,5/5/21 9:00,8.9
Vierra Mouth,5/5/21 9:15,8.7
Vierra Mouth,5/5/21 9:30,8.9
Vierra Mouth,5/5/21 9:45,8.8
Vierra Mouth,5/5/21 10:00,8.7
Vierra Mouth,5/5/21 10:15,8.5
Vierra Mouth,5/5/21 10:30,8.4
Vierra Mouth,5/5/21 10:45,8.3
Vierra Mouth,5/5/21 11:00,8.2
Vierra Mouth,5/5/21 11:15,8
Vierra Mouth,5/5/21 11:30,7.9
Vierra Mouth,5/5/21 11:45,7.6
Vierra Mouth,5/5/21 12:00,7.4
Vierra Mouth,5/5/21 12:15,7.1
Vierra Mouth,5/5/21 12:30,6.9
Vierra Mouth,5/5/21 12:45,7.8
Vierra Mouth,5/5/21 13:00,7.5
Vierra Mouth,5/5/21 13:15,8.8
Vierra Mouth,5/5/21 13:30,9.2
Vierra Mouth,5/5/21 13:45,8.6
Vierra Mouth,5/5/21 14:00,9.1
Vierra Mouth,5/5/21 14:15,8.7
Vierra Mouth,5/5/21 14:30,8.3
Vierra Mouth,5/5/21 14:45,8.2
Vierra Mouth,5/5/21 15:00,7.3
Vierra Mouth,5/5/21 15:15,7.5
Vierra Mouth,5/5/21 15:30,7.6
Vierra Mouth,5/5/21 15:45,7.9
Vierra Mouth,5/5/21 16:00,8.1
Vierra Mouth,5/5/21 16:15,8.4
Vierra Mouth,5/5/21 16:30,8.4
Vierra Mouth,5/5/21 16:45,8.5
Vierra Mouth,5/5/21 17:00,8.9
Vierra Mouth,5/5/21 17:15,9.3
Vierra Mouth,5/5/21 17:30,9.3
Vierra Mouth,5/5/21 17:45,9.3
Vierra Mouth,5/5/21 18:00,9.2
Vierra Mouth,5/5/21 18:15,9
Vierra Mouth,5/5/21 18:30,8.9
Vierra Mouth,5/5/21 18:45,8.6
Vierra Mouth,5/5/21 19:00,8.3
Vierra Mouth,5/5/21 19:15,8.4
Vierra Mouth,5/5/21 19:30,8.7
Vierra Mouth,5/5/21 19:45,8.6
Vierra Mouth,5/5/21 20:00,8.5
Vierra Mouth,5/5/21 20:15,8.7
Vierra Mouth,5/5/21 20:30,8.7
Vierra Mouth,5/5/21 20:45,8.6
Vierra Mouth,5/5/21 21:00,8.6
Vierra Mouth,5/5/21 21:15,8.5
Vierra Mouth,5/5/21 21:30,8.5
Vierra Mouth,5/5/21 21:45,8.5
Vierra Mouth,5/5/21 22:00,8.4
Vierra Mouth,5/5/21 22:15,8.3
Vierra Mouth,5/5/21 22:30,8.3
Vierra Mouth,5/5/21 22:45,8.3
Vierra Mouth,5/5/21 23:00,8.2
Vierra Mouth,5/5/21 23:15,8.2
Vierra Mouth,5/5/21 23:30,8.1
Vierra Mouth,5/5/21 23:45,8
Vierra Mouth,5/6/21 0:00,7.9
Vierra Mouth,5/6/21 0:15,7.8
Vierra Mouth,5/6/21 0:30,7.6
Vierra Mouth,5/6/21 0:45,7.6
Vierra Mouth,5/6/21 1:00,7.3
Vierra Mouth,5/6/21 1:15,7
Vierra Mouth,5/6/21 1:30,7.2
Vierra Mouth,5/6/21 1:45,7.1
Vierra Mouth,5/6/21 2:00,7
Vierra Mouth,5/6/21 2:15,7.1
Vierra Mouth,5/6/21 2:30,6.9
Vierra Mouth,5/6/21 2:45,7
Vierra Mouth,5/6/21 3:00,7.1
Vierra Mouth,5/6/21 3:15,6.9
Vierra Mouth,5/6/21 3:30,7
Vierra Mouth,5/6/21 3:45,7.4
Vierra Mouth,5/6/21 4:00,7.7
Vierra Mouth,5/6/21 4:15,7.8
Vierra Mouth,5/6/21 4:30,8
Vierra Mouth,5/6/21 4:45,8
Vierra Mouth,5/6/21 5:00,8.2
Vierra Mouth,5/6/21 5:15,8.1
Vierra Mouth,5/6/21 5:30,8
Vierra Mouth,5/6/21 5:45,8
Vierra Mouth,5/6/21 6:00,7.8
Vierra Mouth,5/6/21 6:15,7.8
Vierra Mouth,5/6/21 6:30,8.3
Vierra Mouth,5/6/21 6:45,8.4
Vierra Mouth,5/6/21 7:00,8.3
Vierra Mouth,5/6/21 7:15,8.3
Vierra Mouth,5/6/21 7:30,8.3
Vierra Mouth,5/6/21 7:45,8.3
Vierra Mouth,5/6/21 8:00,8.2
Vierra Mouth,5/6/21 8:15,8.3
Vierra Mouth,5/6/21 8:30,8.5
Vierra Mouth,5/6/21 8:45,8.7
Vierra Mouth,5/6/21 9:00,8.9
Vierra Mouth,5/6/21 9:15,9.1
