Site,TimeStamp,DO_mgL
North Marsh,5/2/21 16:15,9.7
North Marsh,5/2/21 16:30,9.6
North Marsh,5/2/21 16:45,9.5
North Marsh,5/2/21 17:00,9.4
North Marsh,5/2/21 17:15,9.3
North Marsh,5/2/21 17:30,9.3
North Marsh,5/2/21 17:45,9.3
North Marsh,5/2/21 18:00,9.1
North Marsh,5/2/21 18:15,9
North Marsh,5/2/21 18:30,8.8
North Marsh,5/2/21 18:45,8.7
North Marsh,5/2/21 19:00,8.6
North Marsh,5/2/21 19:15,8.2
North Marsh,5/2/21 19:30,7.9
North Marsh,5/2/21 19:45,7.6
North Marsh,5/2/21 20:00,7.5
North Marsh,5/2/21 20:15,7.2
North Marsh,5/2/21 20:30,6.9
North Marsh,5/2/21 20:45,7.1
North Marsh,5/2/21 21:00,6.9
North Marsh,5/2/21 21:15,6.8
North Marsh,5/2/21 21:30,6.6
North Marsh,5/2/21 21:45,6.4
North Marsh,5/2/21 22:00,6.2
North Marsh,5/2/21 22:15,6.2
North Marsh,5/2/21 22:30,6.1
North Marsh,5/2/21 22:45,6
North Marsh,5/2/21 23:00,6
North Marsh,5/2/21 23:15,6
North Marsh,5/2/21 23:30,6
North Marsh,5/2/21 23:45,6
North Marsh,5/3/21 0:00,6.1
North Marsh,5/3/21 0:15,5.9
North Marsh,5/3/21 0:30,5.8
North Marsh,5/3/21 0:45,5.8
North Marsh,5/3/21 1:00,5.9
North Marsh,5/3/21 1:15,5.8
North Marsh,5/3/21 1:30,5.7
North Marsh,5/3/21 1:45,5.8
North Marsh,5/3/21 2:00,5.8
North Marsh,5/3/21 2:15,5.9
North Marsh,5/3/21 2:30,5.9
North Marsh,5/3/21 2:45,6
North Marsh,5/3/21 3:00,6
North Marsh,5/3/21 3:15,6
North Marsh,5/3/21 3:30,6.1
North Marsh,5/3/21 3:45,6
North Marsh,5/3/21 4:00,6
North Marsh,5/3/21 4:15,6
North Marsh,5/3/21 4:30,5.9
North Marsh,5/3/21 4:45,5.9
North Marsh,5/3/21 5:00,5.8
North Marsh,5/3/21 5:15,5.8
North Marsh,5/3/21 5:30,5.7
North Marsh,5/3/21 5:45,5.7
North Marsh,5/3/21 6:00,5.5
North Marsh,5/3/21 6:15,5.4
North Marsh,5/3/21 6:30,5.4
North Marsh,5/3/21 6:45,5.2
North Marsh,5/3/21 7:00,5.3
North Marsh,5/3/21 7:15,4.4
North Marsh,5/3/21 7:30,4.2
North Marsh,5/3/21 7:45,4.1
North Marsh,5/3/21 8:00,3.7
North Marsh,5/3/21 8:15,4.1
North Marsh,5/3/21 8:30,5
North Marsh,5/3/21 8:45,5.1
North Marsh,5/3/21 9:00,5.6
North Marsh,5/3/21 9:15,5.8
North Marsh,5/3/21 9:30,6.5
North Marsh,5/3/21 9:45,7
North Marsh,5/3/21 10:00,7.2
North Marsh,5/3/21 10:15,7.6
North Marsh,5/3/21 10:30,7.6
North Marsh,5/3/21 10:45,8.4
North Marsh,5/3/21 11:00,8.7
North Marsh,5/3/21 11:15,8.7
North Marsh,5/3/21 11:30,9.1
North Marsh,5/3/21 11:45,9.2
North Marsh,5/3/21 12:00,9.2
North Marsh,5/3/21 12:15,9.5
North Marsh,5/3/21 12:30,9.5
North Marsh,5/3/21 12:45,9.5
North Marsh,5/3/21 13:00,9.3
North Marsh,5/3/21 13:15,10
North Marsh,5/3/21 13:30,10.5
North Marsh,5/3/21 13:45,10.9
North Marsh,5/3/21 14:00,10.9
North Marsh,5/3/21 14:15,10.7
North Marsh,5/3/21 14:30,10
North Marsh,5/3/21 14:45,10.5
North Marsh,5/3/21 15:00,10.5
North Marsh,5/3/21 15:15,11
North Marsh,5/3/21 15:30,10.7
North Marsh,5/3/21 15:45,9.9
North Marsh,5/3/21 16:00,9.6
North Marsh,5/3/21 16:15,9.5
